InputID,TargetID,Distance,fipscounty,msa,msaname,cbsaname
20460,310M300US35380,7.50403850104,,,,
44540,310M300US35380,17.0387391505,,,,
17060,310M300US35380,11.6815928771,,,,
34500,310M300US35380,8.45757880668,,,,
40740,310M300US35380,14.9251510341,,,,
20940,310M300US35380,25.6104903514,6025,5,CALIFORNIA,"El Centro, CA"
39220,310M300US35380,22.825365973,,,,
13300,310M300US35380,7.93393876452,,,,
45380,310M300US35380,9.66428289558,,,,
36830,310M300US35380,33.322197149,,,,
17020,310M300US35380,33.1244035469,6007,1620,"CHICO-PARADISE, CA","Chico, CA"
35060,310M300US35380,3.63640633328,,,,
10140,310M300US35380,37.9677646067,,,,
23500,310M300US35380,9.78806522517,,,,
18180,310M300US35380,22.6506955336,,,,
37140,310M300US35380,7.3449457034,,,,
31980,310M300US35380,11.446627848,,,,
29300,310M300US35380,5.83030313028,,,,
45740,310M300US35380,8.11790577789,,,,
12380,310M300US35380,14.0493523047,,,,
25020,310M300US35380,26.6638375023,72109,40,PUERTO RICO,"Guayama, PR"
